Jenis,Kecamatan,Tahun,RTP,Produksi (Ton)
Keramba Tancap,Panton Reu,2016,0,3740
Keramba Tancap,Sungai Mas,2016,0,13420
Keramba Jaring Apung,Johan Pahlawan,2016,0,3250
Keramba Jaring Apung,Samatiga,2016,38,6280
Keramba Jaring Apung,Bubon,2016,10,3140
Keramba Jaring Apung,Arongan Lambalek,2016,0,8260
Keramba Jaring Apung,Woyla,2016,0,1580
Keramba Jaring Apung,Woyla Barat,2016,0,3300
Keramba Jaring Apung,Woyla Timur,2016,0,2500
Keramba Jaring Apung,Kaway XVI,2016,0,3470
Keramba Jaring Apung,Meureubo,2016,16,4500
Keramba Jaring Apung,Pante Ceureumen,2016,4,1730
Keramba Jaring Apung,Panton Reu,2016,0,1780
Keramba Jaring Apung,Sungai Mas,2016,0,3920
Minapadi,Johan Pahlawan,2016,0,0
Minapadi,Samatiga,2016,0,0
Minapadi,Bubon,2016,0,0
Minapadi,Arongan Lambalek,2016,0,0
Minapadi,Woyla,2016,0,0
Minapadi,Woyla Barat,2016,0,0
Minapadi,Woyla Timur,2016,0,0
Minapadi,Kaway XVI,2016,0,0
Minapadi,Meureubo,2016,0,0
Minapadi,Pante Ceureumen,2016,0,0
Minapadi,Panton Reu,2016,0,0
Minapadi,Sungai Mas,2016,0,0
Budidaya Laut,Johan Pahlawan,2017,0,0
Budidaya Laut,Samatiga,2017,0,0
Budidaya Laut,Bubon,2017,0,0
Budidaya Laut,Arongan Lambalek,2017,0,0
Budidaya Laut,Woyla,2017,0,0
Budidaya Laut,Woyla Barat,2017,0,0
Budidaya Laut,Woyla Timur,2017,0,0
Budidaya Laut,Kaway XVI,2017,0,0
Budidaya Laut,Meureubo,2017,0,0
Budidaya Laut,Pante Ceureumen,2017,0,0
Budidaya Laut,Panton Reu,2017,0,0
Budidaya Laut,Sungai Mas,2017,0,0
Tambak,Johan Pahlawan,2017,0,0
Tambak,Samatiga,2017,40,80650
Tambak,Bubon,2017,0,0
Tambak,Arongan Lambalek,2017,0,0
Tambak,Woyla,2017,0,0
Tambak,Woyla Barat,2017,0,0
Tambak,Woyla Timur,2017,0,0
Tambak,Kaway XVI,2017,0,0
Tambak,Meureubo,2017,10,0
Tambak,Pante Ceureumen,2017,0,0
Tambak,Panton Reu,2017,0,0
Tambak,Sungai Mas,2017,0,0
Kolam Air Tawar,Johan Pahlawan,2017,38,34820
Kolam Air Tawar,Samatiga,2017,98,38950
Kolam Air Tawar,Bubon,2017,40,28310
Kolam Air Tawar,Arongan Lambalek,2017,30,17880
Kolam Air Tawar,Woyla,2017,45,27700
Kolam Air Tawar,Woyla Barat,2017,19,11640
Kolam Air Tawar,Woyla Timur,2017,13,23460
Kolam Air Tawar,Kaway XVI,2017,93,22280
Kolam Air Tawar,Meureubo,2017,85,36580
Kolam Air Tawar,Pante Ceureumen,2017,55,41570
Kolam Air Tawar,Panton Reu,2017,89,20820
Kolam Air Tawar,Sungai Mas,2017,45,25340
Keramba Tancap,Johan Pahlawan,2017,0,0
Keramba Tancap,Samatiga,2017,40,10350
Keramba Tancap,Bubon,2017,0,0
Keramba Tancap,Arongan Lambalek,2017,5,3970
Keramba Tancap,Woyla,2017,0,0
Keramba Tancap,Woyla Barat,2017,0,0
Keramba Tancap,Woyla Timur,2017,0,0
Keramba Tancap,Kaway XVI,2017,15,0
Keramba Tancap,Meureubo,2017,96,11200
Keramba Tancap,Pante Ceureumen,2017,4,0
Keramba Tancap,Panton Reu,2017,0,0
Keramba Tancap,Sungai Mas,2017,0,0
Keramba Jaring Apung,Johan Pahlawan,2017,0,0
Keramba Jaring Apung,Samatiga,2017,0,0
Keramba Jaring Apung,Bubon,2017,0,0
Keramba Jaring Apung,Arongan Lambalek,2017,0,0
Keramba Jaring Apung,Woyla,2017,0,0
Keramba Jaring Apung,Woyla Barat,2017,0,0
Keramba Jaring Apung,Woyla Timur,2017,0,0
Keramba Jaring Apung,Kaway XVI,2017,0,0
Keramba Jaring Apung,Meureubo,2017,0,0
Keramba Jaring Apung,Pante Ceureumen,2017,0,0
Keramba Jaring Apung,Panton Reu,2017,0,0
Keramba Jaring Apung,Sungai Mas,2017,0,0
Minapadi,Johan Pahlawan,2017,0,0
Minapadi,Samatiga,2017,0,0
Minapadi,Bubon,2017,0,0
Minapadi,Arongan Lambalek,2017,0,0
Minapadi,Woyla,2017,0,0
Minapadi,Woyla Barat,2017,0,0
Minapadi,Woyla Timur,2017,0,0
Minapadi,Kaway XVI,2017,0,0
Minapadi,Meureubo,2017,0,0
Minapadi,Pante Ceureumen,2017,0,0
Minapadi,Panton Reu,2017,0,0
Minapadi,Sungai Mas,2017,0,0
Budidaya Laut,Johan Pahlawan,2018,0,0
Budidaya Laut,Samatiga,2018,0,0
Budidaya Laut,Bubon,2018,0,0
Budidaya Laut,Arongan Lambalek,2018,0,0
Budidaya Laut,Woyla,2018,0,0
Budidaya Laut,Woyla Barat,2018,0,0
Budidaya Laut,Woyla Timur,2018,0,0
Budidaya Laut,Kaway XVI,2018,0,0
Budidaya Laut,Meureubo,2018,0,0
Budidaya Laut,Pante Ceureumen,2018,0,0
Budidaya Laut,Panton Reu,2018,0,0
Budidaya Laut,Sungai Mas,2018,0,0
Tambak,Johan Pahlawan,2018,0,0
Tambak,Samatiga,2018,42,173240
Tambak,Bubon,2018,0,0
Tambak,Arongan Lambalek,2018,0,0
Tambak,Woyla,2018,0,0
Tambak,Woyla Barat,2018,0,0
Tambak,Woyla Timur,2018,0,0
Tambak,Kaway XVI,2018,0,0
Tambak,Meureubo,2018,10,0
Tambak,Pante Ceureumen,2018,0,0
Tambak,Panton Reu,2018,0,0
Tambak,Sungai Mas,2018,0,0
Kolam Air Tawar,Johan Pahlawan,2018,38,17600
Kolam Air Tawar,Samatiga,2018,98,33070
Kolam Air Tawar,Bubon,2018,40,2750
Kolam Air Tawar,Arongan Lambalek,2018,30,3650
Kolam Air Tawar,Woyla,2018,40,2760
Kolam Air Tawar,Woyla Barat,2018,19,4590
Kolam Air Tawar,Woyla Timur,2018,13,350
Kolam Air Tawar,Kaway XVI,2018,93,7150
Kolam Air Tawar,Meureubo,2018,85,10020
Kolam Air Tawar,Pante Ceureumen,2018,55,2650
Kolam Air Tawar,Panton Reu,2018,89,990
Kolam Air Tawar,Sungai Mas,2018,45,1480
Keramba Tancap,Johan Pahlawan,2018,0,0
Keramba Tancap,Samatiga,2018,40,10350
Keramba Tancap,Bubon,2018,0,0
Keramba Tancap,Arongan Lambalek,2018,5,500
Keramba Tancap,Woyla,2018,0,0
Keramba Tancap,Woyla Barat,2018,0,0
Keramba Tancap,Woyla Timur,2018,0,0
Keramba Tancap,Kaway XVI,2018,15,0
Keramba Tancap,Meureubo,2018,96,2500
Keramba Tancap,Pante Ceureumen,2018,4,0
Keramba Tancap,Panton Reu,2018,0,0
Keramba Tancap,Sungai Mas,2018,0,0
Keramba Jaring Apung,Johan Pahlawan,2018,0,0
Keramba Jaring Apung,Samatiga,2018,0,0
Keramba Jaring Apung,Bubon,2018,0,0
Keramba Jaring Apung,Arongan Lambalek,2018,0,0
Keramba Jaring Apung,Woyla,2018,0,0
Keramba Jaring Apung,Woyla Barat,2018,0,0
Keramba Jaring Apung,Woyla Timur,2018,0,0
Keramba Jaring Apung,Kaway XVI,2018,0,0
Keramba Jaring Apung,Meureubo,2018,0,0
Keramba Jaring Apung,Pante Ceureumen,2018,0,0
Keramba Jaring Apung,Panton Reu,2018,0,0
Keramba Jaring Apung,Sungai Mas,2018,0,0
Minapadi,Johan Pahlawan,2018,0,0
Minapadi,Samatiga,2018,0,0
Minapadi,Bubon,2018,0,0
Minapadi,Arongan Lambalek,2018,0,0
Minapadi,Woyla,2018,0,0
Minapadi,Woyla Barat,2018,0,0
Minapadi,Woyla Timur,2018,0,0
Minapadi,Kaway XVI,2018,0,0
Minapadi,Meureubo,2018,0,0
Minapadi,Pante Ceureumen,2018,0,0
Minapadi,Panton Reu,2018,0,0
Minapadi,Sungai Mas,2018,0,0
Budidaya Laut,Johan Pahlawan,2019,0,0
Budidaya Laut,Samatiga,2019,0,0
Budidaya Laut,Bubon,2019,0,0
Budidaya Laut,Arongan Lambalek,2019,0,0
Budidaya Laut,Woyla,2019,0,0
Budidaya Laut,Woyla Barat,2019,0,0
Budidaya Laut,Woyla Timur,2019,0,0
Budidaya Laut,Kaway XVI,2019,0,0
Budidaya Laut,Meureubo,2019,0,0
Budidaya Laut,Pante Ceureumen,2019,0,0
Budidaya Laut,Panton Reu,2019,0,0
Budidaya Laut,Sungai Mas,2019,0,0
Tambak,Johan Pahlawan,2019,28,4500
Tambak,Samatiga,2019,93,175980
Tambak,Bubon,2019,0,0
Tambak,Arongan Lambalek,2019,0,0
Tambak,Woyla,2019,0,0
Tambak,Woyla Barat,2019,0,0
Tambak,Woyla Timur,2019,0,0
Tambak,Kaway XVI,2019,0,0
Tambak,Meureubo,2019,10,0
Tambak,Pante Ceureumen,2019,0,0
Tambak,Panton Reu,2019,0,0
Tambak,Sungai Mas,2019,0,0
Kolam Air Tawar,Johan Pahlawan,2019,38,19320
Kolam Air Tawar,Samatiga,2019,238,34380
Kolam Air Tawar,Bubon,2019,40,2930
Kolam Air Tawar,Arongan Lambalek,2019,30,3210
Kolam Air Tawar,Woyla,2019,45,3140
Kolam Air Tawar,Woyla Barat,2019,19,4790
Kolam Air Tawar,Woyla Timur,2019,13,1120
Kolam Air Tawar,Kaway XVI,2019,92,6590
Kolam Air Tawar,Meureubo,2019,35,8730
Kolam Air Tawar,Pante Ceureumen,2019,55,2450
Kolam Air Tawar,Panton Reu,2019,39,980
Kolam Air Tawar,Sungai Mas,2019,27,1700
Keramba Tancap,Johan Pahlawan,2019,0,0
